,,dRICH config,,,,Beam,,,,,Firmware,,SiPM status,,Run,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,radiator gas,mirror (mm),rad. aerogel,mirror (mm),Status,Polarity,Collimators,GeV,Trigger,Imaging,Timing,Temperature (C),Bias Voltage (V),Calibration,DCR scan,Physics,N spills,GEM,Triggers,Quality,Archived,Notes,,,,,,,,,,,,,,,,,,,
date of the runbook entry,time of the run book entry ,,,,position of the dRICH aerogel mirror along Z xaxis,"beam status, wheather beam is ON or OFF",the polarity of the beam,,the momentum of the beam,,the firmware used for the KC705s on the imaging readout (all but 200),the firmware use for the KC705 for the timing readout (200),"the setpoint temperature, use notes for exceptions",the bias voltage,run name of the baselne calibration run as received on Telegram message,run name of the DCR scan as received on Telegram message,,number of spills collected in the run,,,"the quality of the run has to be stated, if good bad or some warnings ",,,,,,,,,,,,,,,,,,,,,
26/05/2024,morning,,,"aerogel 1.02
2x 2 cm tiles
AG22-J001 (1.021)
AG22-J003 (1.0207)
side B",75,off,negative,,11.5,"193: Luca-and-16x10
194: Luca-GEM",dual-ext-std-tb2024-base.02,single-ext-std-tb2024-base.02,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-130232,,,,,,,,baseline problems with kc705-199 chip-1 lane-3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-140313,,,,,,,,"only on kc705-199, still problems as above",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240526-141034,,,,,,,,"again, only on kc705-199, manually edited",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,53,,20240526-143658,,,,,,,"test DCR scan, looks ok",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,on,,,,,,,,,,,20240527-140236,5,,,bad,,TEST run to restart: checking the beam operations. Some blanks spots so ALCOR is reinitialized and few photons,,,,,,,,,,,,,,,,,,,
,,,,,,on,,,,,,,,,,,20240527-142146,5,,,bad,,Now it's good,,,,,,,,,,,,,,,,,,,
,,,,,100,on,,,,,,,,,,,20240527-142623,10,,,good,,Position of the mirror back to 100,,,,,,,,,,,,,,,,,,,
,,,,,120,,,,,,,,,,,,20240527-143549,10,,,need QA,,back to the scan: 120,,,,,,,,,,,,,,,,,,,
,,,,,130,,,,,,,,,,,,20240527-144641,10,,,warning,,few photons,,,,,,,,,,,,,,,,,,,
,,,,,140,,,,,,,,,,,,20240527-145357,10,,,need QA,,,,,,,,,,,,,,,,,,,,,
,,,,,140,,,,,,,,,,,,20240527-150539,10,,,,,tried to initialize ALCORs again,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,ACCESS TO FIX TIMING BACK-SIDE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"we will mount the scintillator in the place of the tracking matrix, we swap the FireFly cables to keep the channel mapping the same",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,REPLACED THE ALCOR BOARD in TIMING BACK with a ALCOR v2.0 CHIP. NOW TRACKING IS WITH ALCOR v2.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,20240527-171034,,,,,,,,"INIT FROM SCRATCH, BASELINE CALIBRATION TO ALL",,,,,,,,,,,,,,,,,,,
