# file created on Thu Aug  1 09:43:55 2024
# Date,  Time,  radiator gas,  mirror (mm),  rad. aerogel,  mirror (mm),  Status,  Polarity,  Collimators,  GeV,  Trigger,  Imaging,  Timing,  Temperature (C),  Bias Voltage (V),  Calibration,  DCR scan,  Physics,  N spills,  GEM,  Triggers,  Quality,  Archived,  Notes,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  ,  ,  ,  ,  
norun,  "PDU1: 53,  C4F10 (1.0014),  -20,  "2x aerogel tiles: AG22-J001 (1.021),  "aerogel mirror = 20 mm,  on,  negative,  12,  11.5,  "193: Luca-and-16x10,  -,  -,  "PDU1: -40,  6,  1986,  1000,  20240604-210538,  0,  0,  0,  good,  -,  First test after re-mounting -> GEM did not start properly: cards enabled 0,  empty",  
20240526-223322,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  90,  90,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-223322,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-223957,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  95,  95,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-223957,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-224653,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  100,  100,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-224653,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-225403,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  55,  55,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-225403,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-230701,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  50,  50,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-230701,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-231457,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  40,  40,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-231457,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-234138,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  30,  30,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-234138,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240526-235529,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  75,  75,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240526-235529,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240527-000410,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  20,  20,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-000410,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
20240527-001117,  ,  194: Luca-GEM",  evening,  single-ext-std-tb2024-base.02,  -20,  45,  45,  on,  negative,  4,  11.5,  193: Luca AND,  -,  -,  -,  54,  20240526-141034,  20240527-001117,  10,  10,  -,  good,  good,  -,  "spill gate back to originale 1.1 s delta
